Player;Season;Team;S/C;Pos;GP;G;A;P;+/-;PIM;P/GP;EVG;EVP;PPG;PPP;SHG;SHP;OTG;GWG;S;S%;TOI/GP;FOW%
Connor McDavid;20212022;EDM;L;C;77;43;73;116;27;43;1,51;34;74;9;41;0;1;4;9;306;14,1;22:09;54
Jonathan Huberdeau;20212022;FLA;L;L;78;30;84;114;38;44;1,46;22;72;5;37;3;5;2;7;220;13,6;19:26;32,1
Johnny Gaudreau;20212022;CGY;L;L;79;39;72;111;61;26;1,41;33;86;6;25;0;0;2;9;256;15,2;18:28;100
Leon Draisaitl;20212022;EDM;L;C;77;54;53;107;19;40;1,39;30;67;23;39;1;1;1;11;268;20,2;22:25;53,6
Auston Matthews;20212022;TOR;L;C;71;58;44;102;18;18;1,44;43;74;15;28;0;0;2;9;337;17,2;20:34;56,6
Kirill Kaprizov;20212022;MIN;L;L;77;45;56;101;25;34;1,31;32;72;13;29;0;0;1;4;274;16,4;19:04;55,6
Matthew Tkachuk;20212022;CGY;L;L;79;40;61;101;55;64;1,28;28;72;12;29;0;0;0;6;247;16,2;17:51;47,6
Mitchell Marner;20212022;TOR;R;R;70;35;61;96;22;16;1,37;26;67;6;25;3;4;1;5;218;16,1;20:51;50
J.T. Miller;20212022;VAN;L;C;77;30;66;96;12;43;1,25;22;57;8;37;0;2;3;6;200;15;21:01;53,6
Artemi Panarin;20212022;NYR;R;L;74;22;74;96;21;18;1,3;17;59;5;37;0;0;1;5;177;12,4;19:22;50
Steven Stamkos;20212022;TBL;R;C;77;35;58;93;20;30;1,21;22;62;13;31;0;0;3;9;222;15,8;18:30;50,7
Mikko Rantanen;20212022;COL;L;R;73;36;55;91;38;56;1,25;20;56;16;35;0;0;0;2;248;14,5;20:55;46,4
Patrick Kane;20212022;CHI;L;R;75;26;65;91;-19;18;1,21;17;60;9;31;0;0;0;2;277;9,4;21:50;50
Alex Ovechkin;20212022;WSH;R;L;76;50;40;90;9;18;1,18;33;60;16;29;1;1;0;5;330;15,2;20:39;30,8
Roman Josi;20212022;NSH;L;D;76;21;69;90;14;40;1,18;11;54;10;36;0;0;0;2;268;7,8;25:29;--
Kyle Connor;20212022;WPG;L;L;75;44;44;88;-5;4;1,17;33;59;8;26;3;3;1;8;303;14,5;21:52;14,3
Aleksander Barkov;20212022;FLA;L;C;65;39;49;88;38;14;1,35;23;57;12;26;4;5;2;5;208;18,8;20:21;57
Nathan MacKinnon;20212022;COL;R;C;62;32;55;87;22;40;1,4;25;60;7;27;0;0;1;5;286;11,2;21:06;45,7
Cale Makar;20212022;COL;R;D;74;27;58;85;48;26;1,15;19;52;8;33;0;0;3;6;230;11,7;25:41;--
Nazem Kadri;20212022;COL;L;C;67;26;58;84;16;71;1,25;18;56;8;28;0;0;0;6;237;11;19:15;49,7
Sidney Crosby;20212022;PIT;L;C;66;30;53;83;20;28;1,26;22;53;8;30;0;0;1;9;198;15,2;20:00;52,1
Jake Guentzel;20212022;PIT;L;L;73;40;42;82;13;42;1,12;33;60;7;22;0;0;1;7;256;15,6;20:05;52
Kevin Fiala;20212022;MIN;L;L;78;32;50;82;24;40;1,05;26;66;5;15;1;1;1;7;252;12,7;17:28;26,7
Elias Lindholm;20212022;CGY;R;C;79;40;40;80;58;18;1,01;29;59;10;19;1;2;1;8;226;17,7;19:53;52,9
Vladimir Tarasenko;20212022;STL;L;R;72;33;47;80;9;32;1,11;28;57;5;22;0;1;0;9;223;14,8;16:57;36,4
Mika Zibanejad;20212022;NYR;R;C;79;29;51;80;28;12;1,01;13;47;15;28;1;5;0;3;215;13,5;19:37;52,2
Matt Duchene;20212022;NSH;L;C;74;40;39;79;2;30;1,07;25;53;15;26;0;0;3;6;211;19;18:57;53,7
Mats Zuccarello;20212022;MIN;L;R;70;24;55;79;21;24;1,13;17;51;7;28;0;0;0;2;159;15,1;18:35;38,2
Sebastian Aho;20212022;CAR;L;C;76;36;42;78;17;38;1,03;22;48;13;27;1;3;2;8;213;16,9;19:03;52,2
Joe Pavelski;20212022;DAL;R;C;79;27;51;78;10;14;0,99;15;54;12;24;0;0;0;2;208;13;18:30;52
Filip Forsberg;20212022;NSH;R;L;65;39;38;77;9;22;1,18;31;54;8;23;0;0;1;8;209;18,7;17:59;100
Sam Reinhart;20212022;FLA;R;C;75;29;48;77;25;13;1,03;15;46;14;29;0;2;0;5;178;16,3;17:44;47,6
Evgeny Kuznetsov;20212022;WSH;L;C;75;24;53;77;11;42;1,03;13;46;8;26;3;5;0;4;198;12,1;20:18;44
Victor Hedman;20212022;TBL;L;D;78;20;57;77;24;34;0,99;14;45;6;32;0;0;1;6;205;9,8;25:11;--
Alex DeBrincat;20212022;CHI;R;L;79;40;36;76;-13;19;0,96;26;48;14;28;0;0;4;6;260;15,4;20:48;36,7
William Nylander;20212022;TOR;R;R;78;32;44;76;-13;16;0,97;19;46;13;30;0;0;2;7;249;12,9;18:15;49,1
Robert Thomas;20212022;STL;R;C;69;20;56;76;19;14;1,1;15;59;3;14;2;3;1;6;111;18;18:46;49,4
Chris Kreider;20212022;NYR;L;L;79;51;24;75;18;24;0,95;22;37;26;35;3;3;0;11;249;20,5;18:42;49,6
Jason Robertson;20212022;DAL;L;L;71;38;37;75;15;22;1,06;26;55;12;20;0;0;2;10;211;18;18:08;--
Timo Meier;20212022;SJS;L;R;73;34;41;75;-2;50;1,03;22;57;12;18;0;0;1;8;309;11;19:05;48,6
John Tavares;20212022;TOR;L;C;78;26;49;75;-9;32;0,96;16;49;10;26;0;0;0;3;233;11,2;18:06;60,6
Brad Marchand;20212022;BOS;L;L;67;31;43;74;9;91;1,1;22;46;7;26;2;2;1;6;234;13,3;19:20;35,9
David Pastrnak;20212022;BOS;R;R;70;39;34;73;12;20;1,04;25;49;14;24;0;0;1;9;306;12,8;18:37;35
Pavel Buchnevich;20212022;STL;L;L;70;29;44;73;30;34;1,04;19;50;8;19;2;4;1;3;193;15;18:16;33,3
Adam Fox;20212022;NYR;R;D;76;11;61;72;16;24;0,95;10;37;0;33;1;2;1;2;153;7,2;23:58;--
Roope Hintz;20212022;DAL;L;C;77;37;33;70;16;26;0,91;25;43;9;23;3;4;1;7;202;18,3;18:01;52,1
Mark Scheifele;20212022;WPG;R;C;67;29;41;70;-17;23;1,04;22;51;7;19;0;0;2;3;159;18,2;21:08;50,7
Jesper Bratt;20212022;NJD;L;L;72;25;45;70;2;16;0,97;22;52;3;18;0;0;0;6;190;13,2;17:30;0
Dylan Larkin;20212022;DET;L;C;71;31;38;69;-18;47;0,97;25;55;6;13;0;1;3;4;212;14,6;19:40;52,3
John Carlson;20212022;WSH;R;D;74;16;53;69;16;18;0,93;10;42;6;24;0;3;0;2;179;8,9;23:46;--